name,perc_no_hc,perc_hc
Barnstable County,0.048419963,0.951580037
Berkshire County,0.033183106,0.966816894
Bristol County,0.040702344,0.959297656
Dukes County,0.077691256,0.922308744
Essex County,0.042006083,0.957993917
Franklin County,0.0352451,0.9647549
Hampden County,0.043624139,0.956375861
Hampshire County,0.032567592,0.967432408
Middlesex County,0.034323245,0.965676755
Nantucket County,0.069879518,0.930120482
Norfolk County,0.024546002,0.975453998
Plymouth County,0.036179312,0.963820688
Suffolk County,0.054675326,0.945324674
Worcester County,0.034915887,0.965084113
